id,nombre,equipo,posicion,posicion_detallada,edad,altura,pie_dominante,contrato_hasta,valor_mercado,goles,asistencias,minutos_jugados,valoracion,regates_exitosos,porcentaje_regates_exitosos,pases_clave,tiros_totales,tiros_a_puerta,grandes_ocasiones_creadas,grandes_ocasiones_falladas,pases_ultimo_tercio,porcentaje_pases_acertados,pases_totales,pases_acertados,duelos_aereos_perdidos,intercepciones,entradas,tarjetas_amarillas,tarjetas_rojas,perdidas_de_balon,valoracion_total,conteo_valoraciones
605674,Iñigo Vicente,Real Racing Club,M,"['LW', 'AM']",1998-01-06T00:00:00+00:00,178,Right,1909008000,5600000,8,18,3050,7.54,46,54.12,136,48,24,38,4,705,76.28,1927,1470,12,20,56,9,0,56,286.6,38
1002405,David Larrubia,Málaga CF,M,"['MR', 'RW']",2002-04-20T00:00:00+00:00,172,Both,1845936000,4200000,9,3,3009,7.3,100,44.44,48,84,32,8,4,354,80.84,950,768,16,25,105,4,0,58,262.9,36
922939,Andrés Martín,Real Racing Club,M,['RW'],1999-07-11T00:00:00+00:00,178,Left,1845936000,7200000,20,9,3189,7.27,44,45.83,85,110,46,20,13,340,71.87,942,677,8,25,26,8,0,66,276.2,38
1160969,Brian Cipenga,CD Castellón,F,['LW'],1998-03-11T00:00:00+00:00,169,Right,1782777600,2100000,6,9,2079,7.21,60,45.11,46,48,21,10,5,293,71.27,616,439,30,9,43,1,0,41,201.9,28
813737,Cristian Carracedo,Córdoba,F,['RW'],1995-11-30T00:00:00+00:00,179,Right,1845936000,775000,3,12,2977,7.21,86,60.56,105,45,17,15,3,546,80.33,1256,1009,20,20,70,9,0,62,266.6,37
910022,Rober González,Real Zaragoza,M,"['AM', 'RW']",2001-01-06T00:00:00+00:00,169,Both,1782777600,630000,2,1,1248,7.19,19,45.24,22,22,8,7,3,109,74.71,348,260,6,5,35,2,0,28,107.8,15
1096950,Yeremay Hernández,Deportivo de La Coruña,M,"['LW', 'ML']",2002-12-10T00:00:00+00:00,169,Right,1909008000,23000000,11,9,2833,7.14,85,50.9,56,95,32,9,9,385,86.13,988,851,16,20,47,5,1,54,257.2,36
966836,Álex Sola,Granada,F,"['RW', 'DR']",1999-06-09T00:00:00+00:00,178,Right,1782777600,1600000,3,3,2577,7.12,57,45.24,43,55,13,10,8,158,72.68,549,399,29,21,62,4,0,48,249.3,35
1142255,Josep Cerdà,FC Andorra,M,['LW'],2003-02-04T00:00:00+00:00,175,Right,1814313600,525000,9,3,1260,7.08,28,43.75,13,30,16,5,4,127,85.71,287,246,33,5,10,2,0,34,141.5,20
1094517,Jonathan Dubasin,Sporting Gijón,M,['RW'],2000-02-02T00:00:00+00:00,180,Right,1845936000,3800000,16,3,2834,7.07,35,58.33,26,61,27,6,12,301,81.35,917,746,51,12,43,4,2,42,247.5,35
1580029,Pablo López Gómez,Mirandés,F,['LW'],2006-03-27T00:00:00+00:00,175,Right,1782777600,320000,1,0,221,7.05,6,50.0,3,9,4,0,1,17,80.43,46,37,2,1,2,0,0,2,28.2,4
966804,Jon Morcillo,Almería,M,"['ML', 'LW']",1998-09-15T00:00:00+00:00,183,Left,1909008000,1900000,8,5,2001,7.03,35,60.34,47,66,21,15,1,186,73.2,582,426,11,13,14,2,0,19,267.0,38
346516,Adrián Embarba,Almería,M,"['LW', 'RW']",1992-05-07T00:00:00+00:00,173,Right,1845936000,635000,14,9,2561,7.01,43,38.74,55,99,40,10,8,262,73.99,769,569,34,19,56,7,1,43,259.5,37
1082970,Kialy Abdoul Kone,AD Ceuta,M,"['LW', 'ML']",1997-04-08T00:00:00+00:00,178,Left,1782777600,840000,2,4,2270,6.98,67,57.26,33,22,7,7,1,215,72.83,762,555,28,9,42,4,0,41,230.5,33
954688,Lucas Ribeiro,Cultural Leonesa,F,"['RW', 'ST']",1998-10-09T00:00:00+00:00,181,Left,1782777600,1400000,4,1,1170,6.98,48,58.54,34,31,13,9,6,155,82.05,429,352,11,3,17,8,1,23,167.4,24
1390389,Duk,Leganés,F,"['ST', 'LW']",2000-02-16T00:00:00+00:00,182,Right,1814313600,2300000,4,5,2346,6.96,59,40.97,34,44,18,12,6,129,73.82,424,313,27,6,38,7,1,74,243.7,35
966526,Luismi Cruz,Deportivo de La Coruña,M,"['MR', 'RW']",2001-05-23T00:00:00+00:00,166,Left,1877472000,1400000,3,8,2326,6.96,31,50.0,77,28,7,10,2,310,81.43,770,627,11,8,28,4,0,31,257.5,37
1002343,Souleymane Faye,Granada,F,"['ST', 'LW']",2003-02-08T00:00:00+00:00,179,Right,1909008000,4300000,2,6,1611,6.96,27,35.53,23,37,13,7,1,145,77.81,401,312,35,7,18,2,0,37,132.2,19
982545,Paulino de la Fuente,Real Zaragoza,F,"['MR', 'RW']",1997-06-27T00:00:00+00:00,181,Left,1814313600,580000,0,0,385,6.95,14,58.33,4,9,2,2,0,51,80.89,157,127,12,0,10,1,0,6,55.6,8
936234,Juan Cruz,Leganés,M,['RW'],2000-04-25T00:00:00+00:00,179,Left,1877472000,1900000,3,3,2767,6.94,32,45.71,59,61,20,15,6,256,79.98,839,671,21,9,39,3,0,35,249.9,36
1111081,Job Ochieng,Real Sociedad B U21,M,['RW'],2003-01-17T00:00:00+00:00,185,Right,1845936000,1100000,9,2,1577,6.93,32,40.51,21,51,20,3,9,82,70.23,309,217,29,7,29,7,0,14,173.3,25
1146312,David Mella,Deportivo de La Coruña,M,"['RW', 'MR']",2005-05-23T00:00:00+00:00,169,Left,1877472000,4500000,5,1,1576,6.93,25,52.08,19,25,12,3,1,149,80.0,450,360,22,18,21,2,0,12,173.3,25
1150431,Yeray Cabanzon,FC Andorra,M,"['RW', 'MR']",2003-05-14T00:00:00+00:00,170,Left,1782777600,560000,2,4,959,6.92,21,65.63,26,53,16,7,1,164,82.38,403,332,7,4,22,3,0,21,173.1,25
921355,Iuri Tabatadze,Cádiz,M,"['LW', 'RW', 'ML']",1999-11-29T00:00:00+00:00,183,Left,1845936000,1300000,6,0,798,6.92,12,57.14,2,25,11,0,1,38,68.53,143,98,9,3,10,3,0,6,124.6,18
811572,José Corpas,Eibar,M,"['RW', 'DR']",1991-07-07T00:00:00+00:00,174,Right,1782777600,485000,5,6,3168,6.92,42,40.78,58,58,23,12,5,260,72.92,986,719,41,31,43,14,0,37,256.0,37
1391487,Malcom Ares,Eibar,M,['LW'],2001-10-12T00:00:00+00:00,183,Right,1909008000,1200000,2,1,1310,6.91,38,51.35,13,28,12,2,4,129,87.69,471,413,7,3,21,5,0,14,172.8,25
904964,Joaquín Muñoz,Málaga CF,M,"['ST', 'LW', 'ML']",1999-03-10T00:00:00+00:00,172,Both,1814313600,955000,4,6,2258,6.91,37,52.86,33,60,17,9,7,228,76.52,656,502,16,25,32,4,0,31,241.9,35
1142256,Estanis Pedrola,Las Palmas,F,['LW'],2003-08-24T00:00:00+00:00,185,Right,1782777600,845000,4,1,541,6.91,17,53.13,10,16,10,1,1,57,87.95,166,146,6,1,9,2,0,8,96.7,14
1092777,Kevin Medina,Córdoba,F,"['LW', 'ML']",2001-02-26T00:00:00+00:00,173,Both,1814313600,840000,2,1,1088,6.89,27,45.76,16,36,12,1,2,118,77.48,262,203,12,6,19,5,0,14,165.4,24
824130,José Manuel Arnáiz,Granada,F,"['LW', 'ST']",1995-04-15T00:00:00+00:00,175,Right,1814313600,930000,7,2,2157,6.89,15,37.5,42,58,22,5,6,130,76.94,464,357,28,13,20,5,0,38,213.6,31
96370,Suso,Cádiz,M,"['RW', 'AM']",1993-11-19T00:00:00+00:00,176,Left,1877472000,680000,1,3,1962,6.87,32,48.48,38,30,9,7,1,272,79.5,805,640,6,15,27,4,0,25,185.6,27
1048927,Peter González,Real Valladolid,M,"['RW', 'MR']",2002-07-25T00:00:00+00:00,178,Left,1782777600,1400000,6,1,2335,6.87,35,43.21,43,49,18,8,7,217,77.96,599,467,28,24,30,6,0,44,226.6,33
845168,Amath Ndiaye,Real Valladolid,M,"['LW', 'ST', 'ML']",1996-07-16T00:00:00+00:00,179,Right,1814313600,835000,4,0,914,6.85,10,30.3,10,21,12,1,6,102,80.95,294,238,9,7,31,1,0,22,116.5,17
928698,Agustín Pastoriza,Cultural Leonesa,M,"['RW', 'MR']",1996-01-31T00:00:00+00:00,177,Left,1798675200,280000,1,1,661,6.85,15,51.72,10,15,8,3,0,55,61.46,205,126,6,5,12,1,0,4,95.9,14
327277,Ager Aketxe,Real Zaragoza,M,"['RW', 'AM']",1993-12-30T00:00:00+00:00,173,Left,1780185600,805000,0,0,132,6.85,4,100.0,3,5,2,1,1,16,75.0,52,39,1,0,2,0,0,4,13.7,2
362772,Sebas Moyano,Real Zaragoza,M,"['LW', 'ML']",1997-03-23T00:00:00+00:00,173,Right,1814313600,720000,2,0,1284,6.84,18,50.0,14,31,9,3,3,101,81.51,292,238,8,3,20,1,0,18,157.3,23
1031543,Jacobo González,Córdoba,F,['LW'],1997-03-25T00:00:00+00:00,176,Right,1782777600,1300000,9,1,2854,6.83,31,40.26,51,109,37,6,5,326,69.58,1042,725,72,8,55,5,1,54,252.6,37
1518119,Jastin García,FC Andorra,F,['LW'],2004-01-16T00:00:00+00:00,180,Right,1782777600,455000,3,2,1368,6.83,43,53.75,21,40,18,8,5,143,78.35,425,333,18,2,20,6,0,30,191.1,28
1009861,Adilson,Córdoba,F,['LW'],1997-03-21T00:00:00+00:00,169,Both,1814313600,320000,2,0,263,6.82,7,70.0,4,7,4,0,2,32,78.57,70,55,3,1,4,0,0,3,68.2,10
316406,Antonio Puertas,Albacete Balompié,M,['RW'],1992-02-21T00:00:00+00:00,183,Right,1814313600,620000,8,4,1917,6.81,19,44.19,22,46,20,8,12,141,74.85,497,372,48,3,29,6,1,28,197.6,29
863388,Luis Chacón,Cultural Leonesa,M,"['AM', 'LW']",2000-05-30T00:00:00+00:00,174,Right,1782777600,970000,8,3,3183,6.81,11,34.38,54,90,33,8,7,354,86.49,1236,1069,31,39,41,2,0,11,252.0,37
1535581,Lander Astiazaran,Real Sociedad B U21,M,['RW'],2006-04-07T00:00:00+00:00,178,Both,1814313600,2100000,6,4,2473,6.81,23,32.86,47,43,15,10,2,173,74.1,695,515,40,16,36,4,0,13,251.9,37
989878,Nicolás Melamed,Almería,M,['LW'],2001-04-11T00:00:00+00:00,173,Right,1909008000,2700000,3,2,938,6.8,11,42.31,22,44,18,3,1,104,84.52,323,273,14,4,9,1,0,14,163.2,24
1546406,Baba,Granada,M,['RW'],2005-06-10T00:00:00+00:00,174,Right,1782777600,450000,1,0,430,6.79,10,47.62,2,8,2,1,2,12,66.67,75,50,7,5,17,2,0,5,67.9,10
960401,Marvin Park,Las Palmas,D,"['DR', 'RW']",2000-03-07T00:00:00+00:00,177,Right,1845936000,1100000,0,2,1982,6.79,20,51.28,13,8,1,2,1,160,83.0,859,713,27,37,38,10,0,11,190.0,28
252857,Léo Baptistão,Almería,M,"['RW', 'ST']",1992-08-26T00:00:00+00:00,181,Right,1782777600,660000,9,2,1794,6.78,15,44.12,19,67,27,2,11,152,67.57,555,375,50,12,31,7,1,22,223.9,33
605650,Íñigo Cordoba,Burgos Club de Fútbol,M,"['LW', 'ML']",1997-03-13T00:00:00+00:00,178,Left,1782777600,1600000,2,1,2427,6.78,47,41.59,27,32,9,3,3,231,74.02,820,607,21,28,84,4,0,29,251.0,37
1175743,Pablo Sáenz,Granada,F,['RW'],2001-05-22T00:00:00+00:00,175,Left,1782777600,755000,4,2,1226,6.78,23,44.23,27,38,12,6,0,99,77.64,331,257,15,5,25,4,0,13,203.5,30
1142596,Salim El Jebari,Mirandés,F,"['LW', 'ST']",2004-02-05T00:00:00+00:00,174,Right,1782777600,390000,1,4,1371,6.76,35,53.85,24,19,7,3,1,103,77.34,278,215,21,4,19,3,0,19,195.9,29
1892528,Min-su Kim,FC Andorra,F,['LW'],2006-01-19T00:00:00+00:00,177,Right,1782777600,3200000,6,4,2340,6.75,45,40.18,33,61,26,4,6,269,82.98,717,595,18,9,20,6,0,48,249.9,37
910023,Arnau Puigmal,Almería,M,['RW'],2001-01-10T00:00:00+00:00,173,Right,1782777600,1400000,3,5,1382,6.75,21,51.22,43,24,9,9,4,221,84.83,501,425,11,11,20,2,0,14,249.9,37
307082,Awer Mabil,CD Castellón,M,"['RW', 'LW']",1995-09-15T00:00:00+00:00,179,Both,1845936000,415000,3,6,1731,6.75,13,37.14,32,40,14,11,8,251,75.96,628,477,25,10,33,3,0,13,202.6,30
965257,Giorgi Guliashvili,Real Racing Club,F,"['ST', 'RW']",2001-09-05T00:00:00+00:00,179,Right,1877472000,2400000,6,2,1108,6.75,5,33.33,8,31,19,2,7,40,80.37,107,86,22,0,8,2,0,11,108.0,16
850025,Daniel Ojeda,Huesca,M,"['MR', 'ML', 'LW']",1994-12-03T00:00:00+00:00,178,Both,1814313600,620000,2,2,1234,6.75,11,52.38,14,27,6,6,4,157,83.58,548,458,8,6,10,4,0,12,175.5,26
941405,Brian Ocampo,Cádiz,M,"['ML', 'LW', 'RW']",1999-06-25T00:00:00+00:00,173,Right,1782777600,930000,5,1,1407,6.75,41,56.94,15,30,11,2,1,131,73.14,484,354,9,11,20,7,1,45,195.7,29
905350,Taisei Miyashiro,Las Palmas,M,"['MC', 'LW']",2000-05-26T00:00:00+00:00,179,Right,1782777600,1700000,4,1,946,6.74,8,32.0,8,24,9,2,3,96,86.71,286,248,19,4,24,1,0,18,94.4,14
1031481,Diego Bri,Córdoba,D,['RW'],2002-01-01T00:00:00+00:00,175,Left,1782777600,630000,3,3,1057,6.74,16,61.54,13,17,12,2,5,99,80.37,377,303,12,12,24,0,0,17,161.8,24
106288,Francisco Portillo,Huesca,M,"['AM', 'LW', 'MC']",1990-06-13T00:00:00+00:00,169,Right,1782777600,185000,1,3,2539,6.74,23,45.1,44,27,10,5,5,364,84.46,1216,1027,45,11,39,4,0,41,242.7,36
813523,Toni Villa,Eibar,M,"['ML', 'LW']",1995-01-07T00:00:00+00:00,171,Right,1782777600,285000,0,2,286,6.74,3,37.5,11,4,1,2,0,46,77.61,134,104,5,2,10,2,0,5,53.9,8
1018516,Daniel Luna,Huesca,M,['RW'],2003-05-07T00:00:00+00:00,178,Left,1782777600,570000,2,0,1611,6.73,27,52.94,17,27,9,3,3,130,78.1,379,296,23,10,34,4,1,34,202.0,30
954047,Konrad de la Fuente,AD Ceuta,F,"['LW', 'RW']",2001-07-16T00:00:00+00:00,170,Right,1782777600,635000,3,1,1386,6.73,25,40.32,13,32,13,1,7,70,78.6,285,224,17,8,23,2,0,32,201.8,30
925220,Pejiño,Las Palmas,M,"['RW', 'MR']",1996-07-29T00:00:00+00:00,177,Left,1782777600,550000,1,3,906,6.73,32,55.17,14,21,6,4,3,91,80.08,261,209,7,3,15,3,0,12,134.5,20
975809,Douglas Aurélio,CD Castellón,F,['RW'],1999-03-27T00:00:00+00:00,183,Left,1782777600,545000,1,0,65,6.73,3,60.0,1,2,1,1,0,3,58.82,17,10,1,1,1,1,0,1,26.9,4
965019,Stipe Biuk,Real Valladolid,M,['LW'],2002-12-26T00:00:00+00:00,184,Right,1877472000,2200000,1,5,2049,6.72,46,47.42,29,48,13,8,6,174,75.35,564,425,22,13,47,5,0,30,235.3,35
1531384,Antonio Cordero,Cádiz,M,['LW'],2006-11-14T00:00:00+00:00,178,Right,1782777600,2100000,2,0,1131,6.72,7,24.14,20,24,10,3,3,100,81.12,286,232,6,3,7,2,0,16,127.7,19
1594117,Pablo Santiago,CD Castellón,M,['LW'],2000-09-27T00:00:00+00:00,173,Right,1845936000,650000,3,5,1652,6.71,19,52.78,31,30,11,10,5,211,78.85,520,410,24,7,19,3,0,32,201.4,30
566894,Stoichkov,Deportivo de La Coruña,F,"['ST', 'LW', 'AM']",1993-11-05T00:00:00+00:00,178,Right,1782777600,485000,5,3,1633,6.71,11,42.31,20,30,13,8,3,95,71.72,343,246,28,3,24,5,0,15,221.3,33
1006232,Julen Lobete,Málaga CF,F,"['ST', 'LW']",2000-09-18T00:00:00+00:00,176,Right,1814313600,1200000,2,3,911,6.7,23,50.0,13,33,14,3,2,97,82.58,264,218,18,9,14,3,0,19,174.3,26
1516812,Ali Houary,Mirandés,M,['LW'],2005-08-05T00:00:00+00:00,178,Right,1782777600,310000,0,1,642,6.7,10,52.63,6,17,4,1,0,61,79.54,259,206,7,4,24,1,1,0,87.1,13
964890,Andy Escudero,AD Ceuta,M,"['MR', 'RW']",1999-07-10T00:00:00+00:00,178,Left,1845936000,425000,0,0,90,6.7,1,100.0,0,0,0,0,0,15,82.35,34,28,0,0,0,0,0,0,13.4,2
813548,Liberto Beltrán,Huesca,F,"['LW', 'ML']",1996-12-26T00:00:00+00:00,171,Left,1814313600,290000,2,0,1065,6.68,10,43.48,8,34,9,2,4,58,68.78,205,141,16,10,17,3,0,9,167.1,25
1526648,Sergio Rodelas,Granada,F,['LW'],2004-12-01T00:00:00+00:00,168,Left,1845936000,875000,0,1,590,6.68,16,53.33,12,14,4,4,1,40,68.86,167,115,10,5,20,2,0,8,167.1,25
1210425,Kenneth Mamah,CD Castellón,M,"['RW', 'MR']",1998-05-05T00:00:00+00:00,182,Right,1814313600,645000,1,0,465,6.68,5,45.45,4,8,3,0,1,57,82.32,181,149,0,5,10,1,0,5,80.2,12
900989,Raúl Sánchez,CD Castellón,F,"['ML', 'LW', 'ST']",1997-11-08T00:00:00+00:00,188,Left,1845936000,1000000,0,0,396,6.68,5,71.43,1,11,3,0,2,28,70.37,135,95,8,5,13,1,0,4,80.1,12
1031637,Gaspar Campos,Sporting Gijón,M,"['LW', 'ML']",2000-03-27T00:00:00+00:00,175,Right,1845936000,2200000,5,2,1923,6.66,31,54.39,17,51,20,5,4,240,82.48,628,518,24,14,37,3,0,38,219.8,33
1134395,Naim García,Leganés,M,['RW'],2002-06-11T00:00:00+00:00,179,Left,1814313600,825000,2,2,2167,6.66,29,48.33,39,35,11,6,2,138,78.6,584,459,19,13,29,4,0,19,213.0,32
826003,Jordi Mboula,Cultural Leonesa,F,['RW'],1999-03-16T00:00:00+00:00,182,Both,,455000,0,1,484,6.65,5,41.67,9,8,3,2,0,31,76.61,124,95,3,2,11,0,0,7,79.8,12
1547308,Efe Ugiagbe,Huesca,F,['LW'],2004-06-11T00:00:00+00:00,178,Right,1782777600,,1,0,553,6.65,25,53.19,1,11,2,0,2,38,75.76,132,100,9,6,8,1,0,16,132.9,20
1605227,Aingeru Olabarrieta,FC Andorra,M,['RW'],2005-11-14T00:00:00+00:00,182,Left,1782777600,855000,1,0,1166,6.64,29,46.77,13,32,7,1,0,124,80.58,345,278,4,4,8,5,0,10,179.4,27
1398515,Aisar Ahmed,AD Ceuta,D,"['DR', 'RW']",2001-07-02T00:00:00+00:00,172,Right,1782777600,650000,0,2,2772,6.64,10,32.26,22,14,2,1,2,186,79.14,863,683,25,39,41,5,1,17,239.0,36
1134538,Mateo Mejía,Burgos Club de Fútbol,M,['RW'],2003-03-31T00:00:00+00:00,188,Right,1845936000,410000,3,0,466,6.64,3,50.0,2,12,4,0,0,16,71.93,57,41,10,1,8,4,0,3,112.8,17
790833,Sergi Canós,Real Valladolid,M,"['LW', 'ML', 'MR']",1997-02-02T00:00:00+00:00,173,Right,1782777600,840000,2,1,995,6.63,8,34.78,20,28,8,1,0,87,72.22,324,234,4,8,25,4,0,11,139.3,21
1441821,Iker Varela,Mirandés,M,['LW'],2003-03-01T00:00:00+00:00,188,Both,1782777600,320000,1,0,792,6.63,5,27.78,4,18,7,0,2,49,68.18,176,120,7,2,9,2,0,10,99.5,15
1640614,Jeremía Recoba,Las Palmas,M,['LW'],2003-10-08T00:00:00+00:00,176,Right,1845936000,1200000,0,0,182,6.63,2,66.67,6,6,0,0,1,23,76.27,59,45,5,1,1,0,0,10,39.8,6
811493,Salvi Sánchez,AD Ceuta,F,"['RW', 'MR']",1991-03-30T00:00:00+00:00,175,Right,1782777600,180000,0,2,496,6.63,2,25.0,6,8,2,2,1,46,71.52,158,113,5,1,10,3,0,2,125.9,19
605510,José Carlos Lazo,Albacete Balompié,M,['LW'],1996-02-16T00:00:00+00:00,177,Both,1782777600,450000,3,2,1309,6.63,6,30.0,28,44,13,5,1,132,73.88,402,297,17,16,18,5,0,15,212.0,32
1470379,Alex Calvo,FC Andorra,F,['RW'],2004-02-20T00:00:00+00:00,170,Left,1845936000,440000,1,0,508,6.61,13,39.39,8,12,6,4,0,53,82.27,220,181,10,4,12,1,0,7,92.6,14
1602590,Alex Marchal,Real Sociedad B U21,M,['LW'],2007-09-17T00:00:00+00:00,181,Right,1814313600,2100000,1,1,1053,6.61,10,31.25,16,18,8,3,3,73,80.51,277,223,15,6,19,1,0,13,185.0,28
1520752,Benjamin Pauwels,Leganés,F,['LW'],2004-10-29T00:00:00+00:00,181,Right,1782777600,1100000,0,0,156,6.6,3,27.27,1,1,1,0,0,6,83.78,37,31,2,0,3,0,0,4,59.4,9
889815,Patrick Soko,Almería,F,"['ST', 'MR', 'RW']",1997-11-01T00:00:00+00:00,176,Right,1845936000,1200000,0,1,759,6.59,10,43.48,13,23,4,4,1,49,74.45,137,102,14,3,5,1,0,7,138.3,21
1164676,Marcos Cuenca,Real Zaragoza,F,['RW'],2002-11-07T00:00:00+00:00,184,Right,1845936000,370000,0,1,1179,6.58,20,41.67,16,32,7,3,9,75,67.92,240,163,21,5,14,3,1,20,171.2,26
962378,Valery Fernández,Real Zaragoza,M,['LW'],1999-11-23T00:00:00+00:00,179,Right,1845936000,680000,0,0,974,6.57,12,66.67,7,4,0,1,0,69,85.24,271,231,8,3,16,1,0,3,118.2,18
1010513,Jordi Martín,Huesca,M,"['LW', 'RW']",2001-01-05T00:00:00+00:00,174,Left,1814313600,425000,0,1,641,6.55,3,30.0,7,4,1,0,0,47,76.11,247,188,7,11,14,3,0,2,98.2,15
867780,Josué Dorrio,Málaga CF,F,"['RW', 'MR']",1994-03-03T00:00:00+00:00,170,Right,1782777600,410000,0,2,295,6.54,2,22.22,10,6,2,1,2,24,74.68,79,59,3,5,4,1,0,4,85.0,13
807576,Nikola Čumić,Real Zaragoza,M,['LW'],1998-11-20T00:00:00+00:00,173,Right,1782777600,910000,0,0,222,6.53,3,30.0,0,3,0,0,1,18,75.0,48,36,2,1,3,1,0,2,39.2,6
1120497,Diego Percan,Córdoba,F,"['RW', 'ST']",2001-11-13T00:00:00+00:00,179,Right,1814313600,205000,2,1,334,6.53,6,50.0,4,11,5,2,5,26,64.52,93,60,6,2,11,3,1,9,104.4,16
1423518,Marko Perović,Almería,M,['LW'],2006-03-05T00:00:00+00:00,177,Left,1782777600,185000,0,0,75,6.52,2,40.0,0,3,0,0,0,11,73.91,23,17,0,0,1,0,0,3,32.6,5
1010409,Xeber Alkain,Eibar,M,['RW'],1997-06-26T00:00:00+00:00,174,Right,1814313600,745000,0,1,508,6.52,10,41.67,5,14,5,1,3,57,80.86,162,131,2,2,14,1,0,8,84.7,13
1160061,Dani Queipo,Sporting Gijón,F,['LW'],2002-05-22T00:00:00+00:00,168,Right,1814313600,1100000,0,1,583,6.51,4,28.57,3,10,1,1,3,52,77.19,171,132,15,5,25,4,0,8,143.3,22
828969,Manu Vallejo,AD Ceuta,F,"['ST', 'LW']",1997-02-14T00:00:00+00:00,167,Right,,270000,0,0,83,6.5,0,0.0,0,1,0,0,0,6,81.25,16,13,4,1,0,0,0,1,26.0,4
948004,Ignacio Laquintana,Huesca,M,['RW'],1999-02-01T00:00:00+00:00,177,Right,1782777600,1500000,0,0,417,6.5,3,60.0,12,4,2,3,1,35,67.68,99,67,2,5,6,1,0,5,45.5,7
362032,Cristian Herrera,Deportivo de La Coruña,F,['RW'],1991-03-13T00:00:00+00:00,189,Both,1782777600,91000,0,0,142,6.5,2,66.67,3,4,1,0,2,19,77.19,57,44,5,1,2,1,0,0,71.5,11
1015281,Lucas Sanseviero,Real Valladolid,M,['RW'],2000-08-05T00:00:00+00:00,180,Right,1782777600,970000,1,1,355,6.49,2,40.0,2,4,2,1,0,11,47.06,51,24,2,1,3,0,0,3,64.9,10
1172532,Nick Markanich,CD Castellón,F,['RW'],1999-12-26T00:00:00+00:00,185,,1798675200,515000,0,0,191,6.45,0,0.0,2,8,2,0,2,10,76.32,38,29,13,0,3,0,0,2,71.0,11
1173564,Oscar Cortés,Sporting Gijón,M,['LW'],2003-12-03T00:00:00+00:00,176,Right,1798675200,1900000,0,0,119,6.45,2,28.57,0,2,1,0,0,18,80.0,45,36,4,0,2,1,0,2,25.8,4
1092305,‪Ignacio Schor,AD Ceuta,F,['RW'],2000-08-04T00:00:00+00:00,183,Right,1814313600,735000,0,0,97,6.44,0,0.0,1,3,0,0,1,5,91.67,24,22,2,0,2,1,0,1,32.2,5
1428531,Diego Sia,Mirandés,M,"['ST', 'LW']",2006-03-10T00:00:00+00:00,170,Right,1782777600,410000,0,0,210,6.43,4,44.44,3,4,1,0,2,15,69.05,42,29,1,2,4,0,0,1,45.0,7
353252,Martín Merquelanz,FC Andorra,F,['LW'],1995-06-12T00:00:00+00:00,176,Left,,205000,0,0,56,6.3,0,0.0,0,2,0,0,0,5,75.0,16,12,0,0,0,1,0,1,6.3,1
1398533,Isaac Obeng,Cádiz,M,['RW'],2003-05-10T00:00:00+00:00,182,Left,1782777600,205000,0,0,12,6.3,0,0.0,0,0,0,0,0,1,25.0,4,1,0,0,0,0,0,0,6.3,1
