id,nombre,equipo,posicion,posicion_detallada,edad,altura,pie_dominante,contrato_hasta,valor_mercado,goles,asistencias,minutos_jugados,valoracion,regates_exitosos,porcentaje_regates_exitosos,pases_clave,tiros_totales,tiros_a_puerta,grandes_ocasiones_creadas,grandes_ocasiones_falladas,pases_ultimo_tercio,porcentaje_pases_acertados,pases_totales,pases_acertados,duelos_aereos_perdidos,intercepciones,entradas,tarjetas_amarillas,tarjetas_rojas,perdidas_de_balon,valoracion_total,conteo_valoraciones,regates_intentados,porcentaje_tiros_a_puerta,porcentaje_pases_clave,goles_por_90,asistencias_por_90,regates_exitosos_por_90,pases_clave_por_90,tiros_totales_por_90,tiros_a_puerta_por_90,grandes_ocasiones_creadas_por_90,grandes_ocasiones_falladas_por_90,pases_ultimo_tercio_por_90,pases_totales_por_90,pases_acertados_por_90,duelos_aereos_perdidos_por_90,intercepciones_por_90,entradas_por_90,perdidas_de_balon_por_90,regates_intentados_por_90,valor_mercado_fmt
605674,Iñigo Vicente,Real Racing Club,M,"['LW', 'AM']",28 años,178,Derecho,30/06/2030,5600000.0,8,18,3050,7.54,46,54.12,136,48,24,38,4,705,76.28,1927,1470,12,20,56,9,0,56,286.6,38,85.0,50.0,7.0576024909185255,0.2360655737704918,0.5311475409836065,1.3573770491803279,4.013114754098361,1.4163934426229507,0.7081967213114754,1.1213114754098361,0.1180327868852459,20.803278688524593,56.86229508196721,43.377049180327866,0.3540983606557377,0.5901639344262295,1.6524590163934427,1.6524590163934427,2.5081967213114753,5.600.000 €
1002405,David Larrubia,Málaga CF,M,"['MR', 'RW']",24 años,172,Ambidiestro,30/06/2028,4200000.0,9,3,3009,7.3,100,44.44,48,84,32,8,4,354,80.84,950,768,16,25,105,4,0,58,262.9,36,225.0,38.095238095238095,5.052631578947368,0.2691924227318046,0.08973080757726819,2.991026919242273,1.435692921236291,2.5124626121635094,0.9571286141575274,0.23928215353938184,0.11964107676969092,10.588235294117647,28.414755732801595,22.971086739780656,0.4785643070787637,0.7477567298105683,3.1405782652043865,1.7347956131605184,6.7298105682951155,4.200.000 €
922939,Andrés Martín,Real Racing Club,M,['RW'],27 años,178,Zurdo,30/06/2028,7200000.0,20,9,3189,7.27,44,45.83,85,110,46,20,13,340,71.87,942,677,8,25,26,8,0,66,276.2,38,96.0,41.81818181818181,9.023354564755838,0.5644402634054563,0.25399811853245535,1.2417685794920037,2.3988711194731893,3.1044214487300095,1.2982126058325494,0.5644402634054563,0.36688617121354655,9.595484477892757,26.58513640639699,19.106302916274693,0.22577610536218248,0.7055503292568204,0.7337723424270931,1.8626528692380058,2.70931326434619,7.200.000 €
1160969,Brian Cipenga,CD Castellón,F,['LW'],28 años,169,Derecho,30/06/2026,2100000.0,6,9,2079,7.21,60,45.11,46,48,21,10,5,293,71.27,616,439,30,9,43,1,0,41,201.9,28,133.0,43.75,7.467532467532467,0.2597402597402597,0.38961038961038963,2.5974025974025974,1.9913419913419912,2.0779220779220777,0.9090909090909092,0.43290043290043295,0.21645021645021648,12.683982683982684,26.666666666666664,19.004329004329005,1.2987012987012987,0.38961038961038963,1.8614718614718613,1.774891774891775,5.757575757575758,2.100.000 €
813737,Cristian Carracedo,Córdoba,F,['RW'],30 años,179,Derecho,30/06/2028,775000.0,3,12,2977,7.21,86,60.56,105,45,17,15,3,546,80.33,1256,1009,20,20,70,9,0,62,266.6,37,142.0,37.77777777777778,8.359872611464967,0.09069533087000337,0.36278132348001346,2.59993281827343,3.1743365804501176,1.3604299630500503,0.5139402082633524,0.45347665435001683,0.09069533087000337,16.506550218340614,37.97111185757474,30.503862949277796,0.6046355391333558,0.6046355391333558,2.116224386966745,1.8743701713134027,4.2929123278468255,775.000 €
910022,Rober González,Real Zaragoza,M,"['AM', 'RW']",25 años,169,Ambidiestro,30/06/2026,630000.0,2,1,1248,7.19,19,45.24,22,22,8,7,3,109,74.71,348,260,6,5,35,2,0,28,107.8,15,42.0,36.36363636363637,6.321839080459771,0.14423076923076922,0.07211538461538461,1.3701923076923077,1.5865384615384615,1.5865384615384615,0.5769230769230769,0.5048076923076923,0.21634615384615385,7.8605769230769225,25.096153846153847,18.75,0.4326923076923077,0.360576923076923,2.5240384615384617,2.019230769230769,3.0288461538461537,630.000 €
1096950,Yeremay Hernández,Deportivo de La Coruña,M,"['LW', 'ML']",23 años,169,Derecho,30/06/2030,23000000.0,11,9,2833,7.14,85,50.9,56,95,32,9,9,385,86.13,988,851,16,20,47,5,1,54,257.2,36,167.0,33.68421052631579,5.668016194331984,0.34945287680903636,0.2859159901164843,2.7003176844334624,1.7790328273914577,3.018002117896223,1.016590187080833,0.2859159901164843,0.2859159901164843,12.230850688316272,31.38722202612072,27.0349452876809,0.5082950935404165,0.6353688669255206,1.4931168372749735,1.7154959406989057,5.305330038828098,23.000.000 €
966836,Álex Sola,Granada,F,"['RW', 'DR']",27 años,178,Derecho,30/06/2026,1600000.0,3,3,2577,7.12,57,45.24,43,55,13,10,8,158,72.68,549,399,29,21,62,4,0,48,249.3,35,126.0,23.636363636363637,7.832422586520947,0.10477299185098952,0.10477299185098952,1.990686845168801,1.5017462165308497,1.9208381839348079,0.4540162980209546,0.3492433061699651,0.27939464493597205,5.518044237485448,19.173457508731083,13.934807916181606,1.0128055878928988,0.7334109429569267,2.1653084982537836,1.6763678696158324,4.40046565774156,1.600.000 €
1142255,Josep Cerdà,FC Andorra,M,['LW'],23 años,175,Derecho,30/06/2027,525000.0,9,3,1260,7.08,28,43.75,13,30,16,5,4,127,85.71,287,246,33,5,10,2,0,34,141.5,20,64.0,53.333333333333336,4.529616724738676,0.6428571428571428,0.2142857142857143,2.0,0.9285714285714286,2.142857142857143,1.1428571428571428,0.3571428571428571,0.2857142857142857,9.071428571428571,20.5,17.571428571428573,2.357142857142857,0.3571428571428571,0.7142857142857142,2.428571428571429,4.571428571428571,525.000 €
1094517,Jonathan Dubasin,Sporting Gijón,M,['RW'],26 años,180,Derecho,30/06/2028,3800000.0,16,3,2834,7.07,35,58.33,26,61,27,6,12,301,81.35,917,746,51,12,43,4,2,42,247.5,35,60.0,44.26229508196721,2.8353326063249726,0.5081157374735357,0.09527170077628794,1.1115031757233593,0.8256880733944955,1.9371912491178547,0.8574453069865915,0.19054340155257588,0.38108680310515175,9.55892731122089,29.12138320395201,23.6908962597036,1.619618913196895,0.38108680310515175,1.3655610444601272,1.333803810868031,1.9054340155257588,3.800.000 €
