minute,team,player,X,Y,xG,result,goal
1,Napoli,Khvicha Kvaratskhelia,0.8519999694824218,0.6519999694824219,0.0578852891921997,BlockedShot,0
3,Napoli,Stanislav Lobotka,0.7659999847412109,0.3110000038146973,0.0150587130337953,MissedShots,0
12,Napoli,Hamed Junior Traore,0.8180000305175781,0.4640000152587891,0.0531327724456787,MissedShots,0
14,Napoli,Leo Østigard,0.909000015258789,0.5070000076293946,0.0314491614699363,MissedShots,0
16,Sassuolo,Uros Racic,0.725999984741211,0.5020000076293946,0.0139461671933531,Goal,1
22,Napoli,Franck Zambo,0.8640000152587891,0.565,0.0824478641152381,BlockedShot,0
26,Napoli,Victor Osimhen,0.88,0.2420000076293945,0.0447903908789157,MissedShots,0
28,Napoli,Amir Rrahmani,0.909000015258789,0.4109999847412109,0.4184035062789917,Goal,1
30,Napoli,Victor Osimhen,0.919000015258789,0.429000015258789,0.1360138207674026,Goal,1
35,Napoli,Khvicha Kvaratskhelia,0.505,0.5670000076293945,0.0106000369414687,MissedShots,0
40,Napoli,Victor Osimhen,0.9230000305175782,0.3929999923706054,0.3894680738449096,Goal,1
41,Napoli,Victor Osimhen,0.7559999847412109,0.3909999847412109,0.0272258874028921,BlockedShot,0
42,Napoli,Khvicha Kvaratskhelia,0.8390000152587891,0.3029999923706055,0.0441281497478485,BlockedShot,0
45,Napoli,Khvicha Kvaratskhelia,0.919000015258789,0.6559999847412109,0.0968550890684127,SavedShot,0
46,Napoli,Victor Osimhen,0.91,0.545,0.5320054292678833,Goal,1
47,Sassuolo,Nedim Bajrami,0.775,0.36,0.0294326953589916,BlockedShot,0
48,Sassuolo,Gianmarco Ferrari,0.9619999694824218,0.519000015258789,0.1362184882164001,SavedShot,0
50,Napoli,Khvicha Kvaratskhelia,0.8430000305175781,0.5670000076293945,0.1412624716758728,Goal,1
53,Napoli,Franck Zambo,0.799000015258789,0.3659999847412109,0.0369999893009662,BlockedShot,0
59,Sassuolo,Armand Lauriente,0.7190000152587891,0.475,0.0159751996397972,MissedShots,0
60,Napoli,Matteo Politano,0.8669999694824219,0.489000015258789,0.1288820207118988,BlockedShot,0
61,Napoli,Matteo Politano,0.8869999694824219,0.315,0.0373314321041107,MissedShots,0
66,Napoli,Giacomo Raspadori,0.8540000152587891,0.4259999847412109,0.0974308177828788,SavedShot,0
72,Sassuolo,Armand Lauriente,0.84,0.6830000305175781,0.0419992357492446,BlockedShot,0
74,Napoli,Khvicha Kvaratskhelia,0.8869999694824219,0.605,0.1199776753783226,BlockedShot,0
74,Napoli,Khvicha Kvaratskhelia,0.855,0.705,0.0252570696175098,BlockedShot,0
74,Napoli,Khvicha Kvaratskhelia,0.8980000305175782,0.6320000076293946,0.0507768280804157,Goal,1
78,Napoli,Giovanni Simeone,0.8369999694824218,0.3509999847412109,0.0698619112372398,SavedShot,0
81,Napoli,Khvicha Kvaratskhelia,0.73,0.4979999923706055,0.0192319620400667,BlockedShot,0
83,Napoli,Piotr Zielinski,0.9180000305175782,0.6719999694824219,0.0759785622358322,BlockedShot,0
89,Napoli,Leander Dendoncker,0.754000015258789,0.5359999847412109,0.0242284890264272,BlockedShot,0
89,Napoli,Franck Zambo,0.76,0.5270000076293946,0.0302136428654193,BlockedShot,0
